Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
004d41f0-66f9-4fab-8159-a02199ecda80,990,1,1478.54,3,1,4,314,Others
0077e1c6-1045-48c4-93ef-9725af7bdb9c,472,1,356.8,5,1,2,512,New
0083537c-a9ee-449c-a023-780a3d2180aa,1216,1,472.68,3,1,2,312,Others
00885ae6-3931-4be9-84dc-b66fc90a0b47,1973,1,1176.0,1,1,3,113,Others
00923a77-5bca-4c40-b544-fdc675b0be1e,1655,1,728.7,2,1,3,213,Others
00c84a9f-b775-408f-8e3a-42b40c3de2a9,131,1,2233.97,5,1,5,515,New
01135888-fe97-44ae-877f-8948267f921a,592,1,1208.84,4,1,3,413,Others
012a177c-acf0-4faa-9a2a-312d09ef5f83,2179,1,1550.6,1,1,4,114,Others
013e4daa-d67d-4b18-9266-4efe35878001,1562,1,148.18,2,1,1,211,Others
01734ad3-f17a-47f8-b176-0dd557fedb12,240,1,3593.88,5,1,5,515,New
01f38c27-e2d8-42a3-a75f-0e32484b5e00,620,1,2947.48,4,1,5,415,Others
02373f18-707f-43aa-99f3-668b063d4396,1955,1,237.44,1,1,1,111,Lost
023b07fa-1276-4d30-ab2e-b58b5c0c3318,557,1,381.84,4,1,2,412,Others
0240d371-4258-4170-9940-bdd46fa11527,141,1,507.63,5,1,2,512,New
0277f7eb-3e66-475f-a7ea-b1696511e83e,1810,1,563.11,1,1,2,112,Others
029fb6ba-e02b-4f5b-9a39-d474e797bc99,855,1,609.21,4,1,2,412,Others
02b691f4-9954-4ac7-8f35-276841c26168,1202,1,372.64,3,1,2,312,Others
02ba0e8e-c328-47fe-ab6f-1a68f8db3cde,1181,1,1189.92,3,1,3,313,Others
02fcc52c-d50e-4bc8-bf29-400bbbaa55a8,1588,1,227.7,2,1,1,211,Others
032663bd-c7d1-426e-b3df-9f2c791f579b,274,1,116.81,5,1,1,511,New
0344da41-bd05-4f07-aceb-f70cfcb697ef,804,1,354.36,4,1,2,412,Others
03575cdf-1322-44cd-8b35-a6cf70993b8e,1140,1,801.29,3,1,3,313,Others
